البطولة,المناسبة,الفريق 1,الفريق 2,التوقيت, نتيجة المباراة, حالة المبارة
الدوري الإنجليزي,الأسبوع السابع والعشرون,مانشستر يونايتد,ساوثامبتون,16:00,0 -- 0,انتهت
الدوري الإنجليزي,الأسبوع السابع والعشرون,وست هام يونايتد,استون فيلا,16:00,1 -- 1,انتهت
الدوري الإنجليزي,الأسبوع السابع والعشرون,فولهام,أرسنال,16:00,0 -- 3,انتهت
الدوري الإنجليزي,الأسبوع السابع والعشرون,نيوكاسل,وولفرهامبتون,18:30,2 -- 1,انتهت
الدوري المصري,الأسبوع الحادي والعشرون,أسوان,فيوتشر اف سي,15:00,1 -- 2,انتهت
الدوري المصري,الأسبوع الحادي والعشرون,الزمالك,إنبي,19:00,0 -- 2,انتهت
الدوري الإسباني,الأسبوع الخامس والعشرون,مايوركا,ريال سوسيداد,15:00,1 -- 1,انتهت
الدوري الإسباني,الأسبوع الخامس والعشرون,اشبيلية,الميريا,17:15,2 -- 1,انتهت
الدوري الإسباني,الأسبوع الخامس والعشرون,فياريال,ريال بيتيس,19:30,1 -- 1,انتهت
الدوري الإسباني,الأسبوع الخامس والعشرون,اتليتك بلباو,برشلونة,22:00,0 -- 1,انتهت
الدوري الإيطالي,الأسبوع السادس والعشرون,ليتشي,تورينو,13:30,0 -- 2,انتهت
الدوري الإيطالي,الأسبوع السادس والعشرون,هيلاس فيرونا,مونزا,16:00,1 -- 1,انتهت
الدوري الإيطالي,الأسبوع السادس والعشرون,كريمونيسي,فيورنتينا,16:00,0 -- 2,انتهت
الدوري الإيطالي,الأسبوع السادس والعشرون,روما,ساسولو,19:00,3 -- 4,انتهت
الدوري الإيطالي,الأسبوع السادس والعشرون,يوفنتوس,سامبدوريا,21:45,4 -- 2,انتهت
الدوري الألماني,الأسبوع الرابع والعشرون,فرايبورج,هوفنهايم,16:30,2 -- 1,انتهت
الدوري الألماني,الأسبوع الرابع والعشرون,فيردر بريمن,باير ليفركوزن,18:30,2 -- 3,انتهت
الدوري الألماني,الأسبوع الرابع والعشرون,فولفسبورج,يونيون برلين,20:30,1 -- 1,انتهت
بطولة إفريقيا للأندية لكرة السلة,اليوم الثاني,رواندا انيرجي جروب,كوارا فالكونز,16:00,64 -- 48,انتهت
بطولة إفريقيا للأندية لكرة السلة,اليوم الثاني,ستاد مالي,الإتحاد الرياضي المنستيري,19:30,68 -- 78,انتهت
الدوري الفرنسي,الأسبوع السابع والعشرون,كليرمونت,لانس,14:00,0 -- 4,انتهت
الدوري الفرنسي,الأسبوع السابع والعشرون,اجاكسيو,مونبيليه,16:00,0 -- 1,انتهت
الدوري الفرنسي,الأسبوع السابع والعشرون,أنجيه,تولوز,16:00,0 -- 2,انتهت
الدوري الفرنسي,الأسبوع السابع والعشرون,لوريان,تروا,16:00,2 -- 0,انتهت
الدوري الفرنسي,الأسبوع السابع والعشرون,نانت,نيس,16:00,2 -- 2,انتهت
الدوري الفرنسي,الأسبوع السابع والعشرون,موناكو,ريمس,18:05,0 -- 1,انتهت
الدوري الفرنسي,الأسبوع السابع والعشرون,مارسيليا,ستراسبورج,21:45,2 -- 2,انتهت
الدوري التركي,الأسبوع الخامس والعشرون,أنقرة جوتشو,ألانيا سبور,12:30,2 -- 0,انتهت
الدوري التركي,الأسبوع الخامس والعشرون,طرابزون سبور,أضنة دمير سبور,15:00,4 -- 1,انتهت
الدوري التركي,الأسبوع الخامس والعشرون,إسطنبول باشاكشهير,بشكتاش,18:00,0 -- 2,انتهت
الدوري البرتغالي,الأسبوع الرابع والعشرون,ريو آفي,جل فيسنتي,17:30,2 -- 1,انتهت
الدوري البرتغالي,الأسبوع الرابع والعشرون,ماريتيمو,بنفيكا,20:00,0 -- 3,انتهت
الدوري البرتغالي,الأسبوع الرابع والعشرون,سبورتينج لشبونة,بوافيستا,22:30,3 -- 0,انتهت
الدوري التونسي,الجولة الاولي,أمل حمام سوسة,النجم الرياضي بالمتلوي,15:30,0 -- 0,انتهت
الدوري التونسي,الجولة الاولي,سليمان الرياضي,الملعب التونسي,15:30,0 -- 3,انتهت
الدوري التونسي,الجولة الاولي,البنزرتي,أولمبيك سيدي بوزيد,15:30,3 -- 0,انتهت
دوري نجوم قطر,الأسبوع العاشر,الريان,الوكرة,16:00,1 -- 1,انتهت
دوري نجوم قطر,الأسبوع العاشر,السيلية,المرخية الرياضي,16:00,1 -- 3,انتهت
دوري نجوم قطر,الأسبوع العاشر,السد القطري,الدحيل,18:45,2 -- 2,انتهت
الدوري المغربي,الأسبوع العشرون,أولمبيك آسفي,الجيش الملكي,17:00,0 -- 0,انتهت
الدوري المغربي,الأسبوع العشرون,المغرب الفاسي,الدفاع الجديدي,19:15,3 -- 1,انتهت
الدوري المغربي,الأسبوع العشرون,حسنية اغادير,الرجاء البيضاوي,21:30,2 -- 1,انتهت
الدوري المغربي,الأسبوع العشرون,شباب المحمدية,الاتحاد التوركي,21:30,1 -- 1,انتهت
